name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,4/26/2020,10.6,7.1,9.2,10.6,4.2,6.6,5.8,79.4,1.467,100,41.67,rain,0,0,56.7,35.6,37.9,1012.1,79.1,13.5,43.5,3.6,2,,2020-04-26T06:00:33,2020-04-26T19:47:36,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/27/2020,10.6,5.6,7.7,10.6,2.5,6.3,3.3,74.2,0,0,0,,0,0,42.5,16.5,18.8,1012.9,81.5,15.7,83.4,7.2,3,,2020-04-27T05:59:12,2020-04-27T19:48:39,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/28/2020,19.3,5.6,11.7,19.3,4,11,2.2,55.6,0,0,0,,0,0,33.5,16,264.3,1019.8,13.6,16,309,26.6,9,,2020-04-28T05:57:52,2020-04-28T19:49:41,0.13,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/29/2020,13.4,8.9,10.8,13.4,5.7,10,6.7,76.3,0.019,100,4.17,rain,0,0,43.8,30.7,54.5,1022.8,72.2,15.9,77.4,6.7,4,,2020-04-29T05:56:33,2020-04-29T19:50:44,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,4/30/2020,15.1,10.6,12.6,15.1,10.6,12.6,10.5,87.3,6.24,100,62.5,rain,0,0,60.3,31.1,84.2,1016.6,86,13.5,55.7,4.7,3,,2020-04-30T05:55:16,2020-04-30T19:51:46,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/1/2020,19.3,11.7,14.6,19.3,11.7,14.6,11.5,82.9,1.766,100,45.83,rain,0,0,38.9,11.1,347.8,1006.5,80.4,13.6,125.5,10.7,7,,2020-05-01T05:53:59,2020-05-01T19:52:48,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/2/2020,23.3,11.2,17.3,23.3,11.2,17.3,4.3,44.4,0.014,100,4.17,rain,0,0,40.7,21.7,283.6,1013.3,9.1,16,291.9,25.3,9,,2020-05-02T05:52:44,2020-05-02T19:53:51,0.34,Rain,Clear conditions throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/3/2020,26.1,12.9,19,26.1,12.9,19,9.6,56.8,0.742,100,12.5,rain,0,0,68.4,18,257.3,1008.1,33.8,16,242.1,21,8,,2020-05-03T05:51:30,2020-05-03T19:54:52,0.39,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/4/2020,22.8,11.1,17.6,22.8,11.1,17.6,5.3,45.4,0,0,0,,0,0,60,12.9,307.7,1006.1,58.7,16,234,20.3,9,,2020-05-04T05:50:17,2020-05-04T19:55:54,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/5/2020,18.3,8.3,12.9,18.3,6.5,12.5,-2.7,36.7,0,0,0,,0,0,44.6,16,282.7,1012.6,5.3,16,306.3,26.7,10,,2020-05-05T05:49:06,2020-05-05T19:56:56,0.47,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/6/2020,12.8,8.3,10.5,12.8,6.5,10,4.5,67.5,0.325,100,25,rain,0,0,31.7,24,41.1,1010.6,72.7,16,63.7,5.6,3,,2020-05-06T05:47:56,2020-05-06T19:57:57,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/7/2020,20.5,8.3,13.9,20.5,6.5,13.5,0.7,46.2,0.23,100,4.17,rain,0,0,40.7,24.2,264.3,1008,52.7,16,324.3,28.1,10,,2020-05-07T05:46:47,2020-05-07T19:58:58,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/8/2020,15.6,7.8,10.4,15.6,5.6,9.8,1.6,57,4.761,100,41.67,rain,0,0,34.1,12.9,254.3,1008.5,80.9,15.2,67.5,5.9,3,,2020-05-08T05:45:40,2020-05-08T19:59:59,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/9/2020,9.2,2.1,5.9,7.6,-0.8,3.8,-3.4,53.6,2.517,100,16.67,rain,0,0,53.8,33.2,289,1010.8,40.7,16,252.5,21.8,10,,2020-05-09T05:44:34,2020-05-09T20:00:59,0.53,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/10/2020,17.8,4.3,11.1,17.8,-0.3,9.4,-1.8,42,0,0,0,,0,0,50,33.4,259.7,1017.8,2.7,16,327.5,28.2,10,,2020-05-10T05:43:29,2020-05-10T20:01:59,0.56,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/11/2020,16.1,8.8,12,16.1,8,11.9,5,63,0.569,100,16.67,rain,0,0,87.8,47.8,260.1,1011.8,38.1,16,145.8,12.7,5,,2020-05-11T05:42:26,2020-05-11T20:02:59,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/12/2020,16.6,7.1,11.5,16.6,5.3,11,-2.7,40.7,0,0,0,,0,0,54.4,14.8,291.5,1016.6,40.4,16,336.8,29,10,,2020-05-12T05:41:25,2020-05-12T20:03:58,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/13/2020,18.7,6.1,11.9,18.7,4.1,11.3,-1.6,41.5,0,0,0,,0,0,40.7,18.1,262.7,1025,4,16,340.3,29.4,10,,2020-05-13T05:40:25,2020-05-13T20:04:57,0.7,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,5/14/2020,18.8,9.9,14.9,18.8,9.9,14.9,3.2,47.1,0,0,0,,0,0,40.7,18,187.9,1024.3,14.9,16,319.6,27.8,10,,2020-05-14T05:39:27,2020-05-14T20:05:55,0.75,Clear,Clear conditions throughout the day.,clear-day,"D9152,72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
